epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.043,0.94418,1.46879,0.88265,0.93305,0.91458,0.9519,0.68629,0.88518,0.63117,0.83631,0.000468525,0.000468525,0.000468525
2,39.7686,0.82916,0.63187,0.84961,0.943,0.92866,0.96097,0.67522,0.9154,0.7178,0.84251,0.000935504,0.000935504,0.000935504
3,55.3486,0.85461,0.59688,0.85771,0.8866,0.91143,0.95288,0.66744,0.90871,0.65587,0.8596,0.00139305,0.00139305,0.00139305
4,70.7881,0.80227,0.55512,0.85157,0.92969,0.88509,0.94335,0.66479,0.94306,0.60968,0.8469,0.00138656,0.00138656,0.00138656
5,86.2355,0.80269,0.53726,0.85149,0.95528,0.87695,0.94321,0.67346,0.88938,0.70397,0.8414,0.00137241,0.00137241,0.00137241
6,101.783,0.78631,0.50495,0.84936,0.95521,0.94692,0.9724,0.69858,0.86263,0.48755,0.83562,0.00135826,0.00135826,0.00135826
7,117.656,0.74838,0.48224,0.83996,0.96394,0.94084,0.97227,0.74157,0.7969,0.48073,0.83163,0.00134412,0.00134412,0.00134412
8,133.197,0.72899,0.47025,0.83981,0.95543,0.94454,0.96736,0.71309,0.83885,0.48924,0.82918,0.00132997,0.00132997,0.00132997
9,148.697,0.72285,0.458,0.83395,0.96814,0.95471,0.98084,0.74355,0.78936,0.45478,0.82578,0.00131582,0.00131582,0.00131582
10,164.353,0.73644,0.47687,0.83657,0.94202,0.93252,0.96786,0.72304,0.8158,0.4801,0.82227,0.00130168,0.00130168,0.00130168
11,179.784,0.7018,0.44953,0.82469,0.97627,0.95809,0.9799,0.74763,0.80326,0.46152,0.83848,0.00128753,0.00128753,0.00128753
12,195.406,0.70257,0.44217,0.82612,0.96818,0.95322,0.97824,0.76462,0.74216,0.43016,0.82728,0.00127338,0.00127338,0.00127338
13,211.12,0.6585,0.42328,0.82083,0.98234,0.95362,0.98197,0.77797,0.70987,0.40908,0.82171,0.00125923,0.00125923,0.00125923
14,226.661,0.66621,0.42615,0.82351,0.98347,0.96548,0.98015,0.77241,0.71396,0.41559,0.81484,0.00124509,0.00124509,0.00124509
15,242.158,0.65803,0.40689,0.8194,0.97967,0.9755,0.98296,0.77369,0.71798,0.39552,0.8227,0.00123094,0.00123094,0.00123094
16,257.593,0.67626,0.42129,0.8198,0.97202,0.973,0.98255,0.76601,0.74053,0.4096,0.81631,0.00121679,0.00121679,0.00121679
17,273.151,0.65111,0.40338,0.81625,0.97641,0.96329,0.9789,0.7759,0.70866,0.40791,0.81487,0.00120265,0.00120265,0.00120265
18,288.596,0.6344,0.39411,0.81935,0.97047,0.97278,0.98081,0.77609,0.71144,0.3868,0.8143,0.0011885,0.0011885,0.0011885
19,304.22,0.60915,0.38239,0.81418,0.98051,0.96723,0.98344,0.80463,0.6735,0.38942,0.80459,0.00117435,0.00117435,0.00117435
20,319.942,0.63143,0.39216,0.81794,0.99178,0.97086,0.98195,0.79888,0.69356,0.39055,0.81152,0.00116021,0.00116021,0.00116021
21,335.662,0.60835,0.37973,0.81767,0.98132,0.96758,0.98449,0.79859,0.67275,0.36809,0.81511,0.00114606,0.00114606,0.00114606
22,351.177,0.63758,0.38601,0.81618,0.98828,0.96803,0.98401,0.79864,0.66335,0.37424,0.80769,0.00113191,0.00113191,0.00113191
23,366.622,0.60385,0.37225,0.80958,0.98218,0.96956,0.98355,0.78138,0.66972,0.37943,0.80492,0.00111776,0.00111776,0.00111776
24,382.114,0.59966,0.37224,0.8132,0.98705,0.97169,0.98428,0.78943,0.67342,0.37983,0.80853,0.00110362,0.00110362,0.00110362
25,397.637,0.622,0.37934,0.81173,0.98411,0.97478,0.98384,0.80233,0.66332,0.36765,0.80808,0.00108947,0.00108947,0.00108947
26,413.302,0.59584,0.36181,0.80945,0.98227,0.96663,0.98404,0.79655,0.67303,0.37361,0.80724,0.00107532,0.00107532,0.00107532
27,428.86,0.5864,0.36548,0.80878,0.97399,0.96538,0.98155,0.8076,0.6422,0.36449,0.80217,0.00106118,0.00106118,0.00106118
28,444.463,0.58944,0.36651,0.80963,0.98255,0.96872,0.98444,0.7977,0.654,0.36429,0.79889,0.00104703,0.00104703,0.00104703
29,459.986,0.56328,0.35763,0.80589,0.98171,0.97357,0.98451,0.79337,0.6616,0.3678,0.80765,0.00103288,0.00103288,0.00103288
30,475.568,0.57508,0.35334,0.80642,0.98307,0.97606,0.98519,0.80221,0.65292,0.36318,0.80218,0.00101873,0.00101873,0.00101873
31,491.111,0.56942,0.34883,0.80785,0.98798,0.97539,0.98486,0.82282,0.6251,0.34892,0.80023,0.00100459,0.00100459,0.00100459
32,506.65,0.5471,0.33705,0.8107,0.98886,0.96824,0.98546,0.82392,0.61572,0.33749,0.80014,0.00099044,0.00099044,0.00099044
33,522.281,0.56531,0.34215,0.79903,0.98569,0.97504,0.9854,0.81341,0.63426,0.34877,0.80287,0.000976293,0.000976293,0.000976293
34,537.734,0.57271,0.34959,0.80463,0.98314,0.97443,0.98452,0.80434,0.633,0.35462,0.80699,0.000962146,0.000962146,0.000962146
35,553.351,0.55358,0.33961,0.80518,0.99017,0.96178,0.98338,0.80831,0.63442,0.3557,0.79707,0.000947999,0.000947999,0.000947999
36,568.797,0.54443,0.33356,0.79885,0.98543,0.9731,0.98439,0.82877,0.59706,0.34189,0.79628,0.000933851,0.000933851,0.000933851
37,584.454,0.55035,0.34,0.80438,0.98944,0.97392,0.98397,0.80136,0.64513,0.35071,0.80644,0.000919704,0.000919704,0.000919704
38,599.889,0.55341,0.33706,0.80115,0.98458,0.97438,0.98217,0.81144,0.62188,0.34107,0.80224,0.000905557,0.000905557,0.000905557
39,615.43,0.54911,0.32841,0.7998,0.98375,0.96883,0.98159,0.79881,0.65823,0.35246,0.80434,0.00089141,0.00089141,0.00089141
40,631.03,0.56436,0.33929,0.80405,0.99016,0.97287,0.98525,0.82681,0.59488,0.33145,0.80112,0.000877263,0.000877263,0.000877263
41,646.5,0.53329,0.3238,0.79814,0.99115,0.97144,0.98423,0.82231,0.61005,0.33999,0.80234,0.000863116,0.000863116,0.000863116
42,662.053,0.53137,0.32655,0.80458,0.99002,0.97477,0.98541,0.82694,0.5943,0.32531,0.79875,0.000848969,0.000848969,0.000848969
43,677.573,0.52215,0.32214,0.79849,0.98963,0.97404,0.98513,0.82737,0.60217,0.3201,0.80054,0.000834822,0.000834822,0.000834822
44,693.074,0.51906,0.31912,0.80073,0.98501,0.97426,0.98557,0.83015,0.59751,0.33172,0.79657,0.000820675,0.000820675,0.000820675
45,708.668,0.5307,0.32478,0.80277,0.98143,0.97877,0.98483,0.82032,0.61222,0.33226,0.79605,0.000806528,0.000806528,0.000806528
46,724.214,0.53564,0.31711,0.79781,0.98884,0.97809,0.98613,0.8345,0.57816,0.32831,0.79278,0.00079238,0.00079238,0.00079238
47,739.811,0.53617,0.31936,0.79498,0.98851,0.97302,0.9852,0.83228,0.57834,0.32056,0.79197,0.000778233,0.000778233,0.000778233
48,755.373,0.52722,0.3224,0.804,0.99199,0.97436,0.98566,0.82255,0.60338,0.32031,0.79902,0.000764086,0.000764086,0.000764086
49,770.859,0.52191,0.31489,0.7982,0.99161,0.97003,0.98576,0.83774,0.56188,0.31558,0.79059,0.000749939,0.000749939,0.000749939
50,786.503,0.51551,0.30925,0.79527,0.99086,0.97486,0.98578,0.82901,0.58271,0.31453,0.7989,0.000735792,0.000735792,0.000735792
51,802.034,0.50545,0.30879,0.7945,0.99037,0.97248,0.98636,0.83116,0.59578,0.31154,0.80127,0.000721645,0.000721645,0.000721645
52,817.589,0.50178,0.30136,0.79455,0.98916,0.97601,0.98548,0.83725,0.57383,0.3139,0.79084,0.000707498,0.000707498,0.000707498
53,833.084,0.50984,0.30472,0.79655,0.98989,0.97444,0.98516,0.83095,0.57328,0.3132,0.79422,0.000693351,0.000693351,0.000693351
54,848.62,0.51945,0.30704,0.79541,0.994,0.97222,0.98572,0.83852,0.57958,0.30598,0.79953,0.000679204,0.000679204,0.000679204
55,864.221,0.51513,0.30391,0.79726,0.98626,0.97346,0.98591,0.8411,0.5672,0.31113,0.79568,0.000665057,0.000665057,0.000665057
56,879.847,0.49702,0.29625,0.80004,0.98884,0.97686,0.98591,0.83542,0.56284,0.30341,0.79714,0.000650909,0.000650909,0.000650909
57,895.377,0.5056,0.30149,0.79382,0.98943,0.97395,0.98589,0.83554,0.57354,0.30002,0.7981,0.000636762,0.000636762,0.000636762
58,910.844,0.5054,0.30181,0.79344,0.98855,0.97737,0.98531,0.8312,0.56316,0.3017,0.79969,0.000622615,0.000622615,0.000622615
59,926.391,0.51383,0.30233,0.79139,0.9863,0.96583,0.98365,0.82342,0.57297,0.3157,0.79173,0.000608468,0.000608468,0.000608468
60,941.876,0.49004,0.29639,0.79495,0.98898,0.97238,0.98494,0.83089,0.57068,0.31822,0.79905,0.000594321,0.000594321,0.000594321
61,957.439,0.48465,0.2871,0.79378,0.98779,0.97379,0.98436,0.83066,0.57977,0.30402,0.79206,0.000580174,0.000580174,0.000580174
62,973.177,0.48204,0.28575,0.79239,0.99135,0.97841,0.98569,0.83784,0.5574,0.29294,0.79273,0.000566027,0.000566027,0.000566027
63,988.686,0.47819,0.28409,0.79245,0.98776,0.97705,0.98582,0.83897,0.55925,0.30165,0.789,0.00055188,0.00055188,0.00055188
64,1004.24,0.47257,0.28144,0.79145,0.99269,0.97895,0.98639,0.84352,0.5464,0.2908,0.7913,0.000537733,0.000537733,0.000537733
65,1019.82,0.48391,0.2837,0.79284,0.99237,0.97755,0.98591,0.84782,0.54303,0.29902,0.79112,0.000523586,0.000523586,0.000523586
66,1035.48,0.47941,0.28213,0.79691,0.99435,0.97541,0.9862,0.83324,0.58237,0.29214,0.79763,0.000509438,0.000509438,0.000509438
67,1051.01,0.48103,0.28148,0.79102,0.99095,0.97741,0.98618,0.84811,0.53723,0.28611,0.79227,0.000495291,0.000495291,0.000495291
68,1066.71,0.4762,0.27968,0.78997,0.99082,0.9793,0.98602,0.84075,0.55098,0.29074,0.79173,0.000481144,0.000481144,0.000481144
69,1082.3,0.47024,0.27778,0.79379,0.99256,0.97648,0.98573,0.85115,0.52887,0.28464,0.78681,0.000466997,0.000466997,0.000466997
70,1097.88,0.4641,0.27425,0.7942,0.98727,0.97741,0.98569,0.8398,0.56922,0.28908,0.7946,0.00045285,0.00045285,0.00045285
71,1113.46,0.47348,0.27565,0.79026,0.99064,0.97524,0.9861,0.85633,0.53859,0.28144,0.79016,0.000438703,0.000438703,0.000438703
72,1129.14,0.46469,0.27486,0.7863,0.98954,0.97274,0.9854,0.85206,0.51825,0.28201,0.78698,0.000424556,0.000424556,0.000424556
73,1144.69,0.46158,0.26795,0.78616,0.99263,0.97841,0.98666,0.84785,0.54164,0.28286,0.79512,0.000410409,0.000410409,0.000410409
74,1160.27,0.46217,0.27382,0.79385,0.99386,0.97222,0.98596,0.84949,0.52931,0.28301,0.79089,0.000396262,0.000396262,0.000396262
75,1175.82,0.45782,0.26968,0.79051,0.9967,0.97936,0.98672,0.8519,0.52313,0.27664,0.78819,0.000382115,0.000382115,0.000382115
76,1191.6,0.45848,0.2667,0.78878,0.99333,0.97672,0.98682,0.84914,0.53212,0.27496,0.79137,0.000367967,0.000367967,0.000367967
77,1207.15,0.43485,0.26329,0.79212,0.99071,0.97715,0.98643,0.86045,0.51943,0.27527,0.78821,0.00035382,0.00035382,0.00035382
78,1222.75,0.45236,0.26081,0.78743,0.99228,0.97376,0.98547,0.84691,0.53431,0.27711,0.79001,0.000339673,0.000339673,0.000339673
